Name,Pos,RB,AST,STL,BLK,TOV,PPG,FG%,3P%,2P%,FT%
Aaron Brooks,PG,3.35,5.81,0.89,0.22,2.68,15.88,0.4,0.37,0.44,0.78
Michael Carter-Williams,PG,6.02,6.14,1.77,0.94,3.3,13.57,0.45,0.3,0.47,0.67
Shelvin Mack,PG,4.36,6.08,1.03,0.11,3.32,14.56,0.45,0.37,0.48,0.72
Derrick Rose,PG,3.85,5.32,0.79,0.23,3.06,18.57,0.43,0.3,0.45,0.81
Chris Paul,PG,4.62,11.01,2.31,0.22,2.86,21.47,0.46,0.36,0.5,0.91
Marcus Smart,PG,5.54,3.96,1.98,0.4,1.71,12.0,0.34,0.25,0.43,0.78
Trey Burke,PG,3.04,3.89,0.85,0.17,2.2,17.92,0.41,0.35,0.46,0.77
Ish Smith,PG,4.78,7.78,1.44,0.44,2.89,16.33,0.41,0.33,0.42,0.67
Kyrie Irving,PG,3.43,5.37,1.26,0.34,2.63,22.4,0.45,0.33,0.5,0.89
Devin Harris,PG,3.96,3.24,1.62,0.36,1.8,13.68,0.45,0.32,0.53,0.73
Russell Westbrook,PG,8.16,10.88,2.09,0.31,4.5,24.59,0.45,0.3,0.5,0.81
Isaiah Thomas,PG,3.35,6.93,1.23,0.11,3.02,24.82,0.43,0.35,0.46,0.88
D.J. Augustin,PG,2.91,7.2,1.38,0.15,2.91,17.77,0.44,0.42,0.48,0.82
D.J. Augustin,PG,3.06,4.47,0.94,0.24,2.12,9.88,0.39,0.39,0.33,0.8
Tim Frazier,PG,5.41,9.22,1.72,0.12,2.95,16.1,0.45,0.42,0.45,0.76
Marcelo Huertas,PG,3.73,7.46,1.1,0.22,3.29,9.88,0.42,0.25,0.47,1.0
John Wall,PG,4.87,10.14,1.89,0.8,4.08,19.79,0.42,0.35,0.44,0.78
Langston Galloway,PG,5.08,3.63,1.31,0.44,1.02,11.03,0.39,0.33,0.43,0.71
Ish Smith,PG,5.34,8.96,1.41,0.31,2.67,13.99,0.43,0.33,0.46,0.75
Beno Udrih,PG,3.98,5.52,0.66,0.0,2.65,9.72,0.43,0.33,0.45,0.8
Giannis Antetokounmpo,PG,7.85,4.39,1.22,1.43,2.65,17.24,0.5,0.29,0.54,0.73
Jrue Holiday,PG,3.83,7.66,1.79,0.38,3.32,21.45,0.44,0.32,0.48,0.85
Kirk Hinrich,PG,3.85,3.85,0.91,0.0,1.81,8.6,0.38,0.44,0.39,0.8
Greivis Vasquez,PG,3.6,7.2,0.72,0.0,3.06,10.26,0.33,0.25,0.43,0.91
C.J. Watson,PG,3.62,4.88,1.09,0.36,1.45,7.78,0.33,0.27,0.37,0.83
George Hill,PG,4.22,3.7,1.16,0.21,1.48,12.77,0.44,0.4,0.47,0.75
Archie Goodwin,PG,4.62,3.88,0.92,0.37,3.32,16.43,0.42,0.24,0.47,0.68
Reggie Jackson,PG,3.75,7.27,0.82,0.12,3.28,22.05,0.43,0.36,0.46,0.86
Jarrett Jack,PG,4.82,8.3,1.23,0.22,3.25,14.36,0.39,0.31,0.43,0.89
Jeff Teague,PG,3.41,7.45,1.52,0.38,3.54,19.83,0.44,0.4,0.46,0.85
Tyus Jones,PG,3.02,6.74,1.86,0.23,2.09,9.75,0.36,0.29,0.39,0.73
Joe Young,PG,4.6,6.13,1.53,0.0,3.06,14.55,0.37,0.18,0.43,0.83
Tyler Ennis,PG,4.06,5.32,1.27,0.0,2.54,11.41,0.44,0.37,0.47,0.71
Mo Williams,PG,3.56,4.75,0.59,0.2,2.77,16.22,0.43,0.36,0.47,0.9
Jerian Grant,PG,4.12,4.99,1.52,0.22,2.39,12.14,0.39,0.23,0.45,0.81
J.J. Barea,PG,3.36,6.56,0.64,0.0,2.4,17.44,0.45,0.4,0.48,0.77
Kemba Walker,PG,4.45,5.26,1.62,0.51,2.12,21.13,0.43,0.37,0.46,0.85
Deron Williams,PG,3.22,6.44,1.0,0.22,2.56,15.67,0.41,0.35,0.45,0.87
Rodney Stuckey,PG,4.42,3.93,1.15,0.16,2.13,14.56,0.42,0.21,0.45,0.85
Brandon Jennings,PG,3.98,5.97,0.99,0.2,1.99,13.52,0.37,0.3,0.45,0.71
Raymond Felton,PG,4.2,4.73,1.18,0.26,1.97,12.48,0.41,0.3,0.46,0.86
Brandon Jennings,PG,3.98,7.96,1.39,0.4,2.78,13.92,0.38,0.35,0.39,0.75
Derrick Williams,SF,7.44,1.81,0.8,0.2,1.61,18.7,0.45,0.32,0.5,0.75
T.J. Warren,SF,4.89,1.42,1.26,0.47,1.11,17.37,0.5,0.4,0.52,0.71
Chase Budinger,SF,6.04,2.42,1.45,0.48,1.45,10.63,0.42,0.29,0.46,0.7
Metta World Peace,SF,5.33,1.7,1.28,0.64,0.85,10.65,0.31,0.29,0.3,0.69
Paul Pierce,SF,5.37,1.99,0.99,0.6,1.79,12.13,0.36,0.31,0.43,0.8
Chandler Parsons,SF,5.74,3.42,0.98,0.37,1.95,16.72,0.49,0.41,0.53,0.68
Kobe Bryant,SF,4.72,3.57,1.15,0.26,2.55,22.47,0.36,0.28,0.41,0.81
Kelly Oubre,SF,7.07,0.67,1.01,0.34,1.68,12.45,0.42,0.31,0.48,0.62
Andrew Wiggins,SF,3.69,2.05,1.03,0.62,2.26,21.23,0.46,0.3,0.49,0.76
Al-Farouq Aminu,SF,7.71,2.15,1.14,0.76,1.89,12.88,0.41,0.35,0.47,0.74
Corey Brewer,SF,4.24,2.29,1.76,0.35,1.76,12.71,0.39,0.26,0.45,0.76
Justise Winslow,SF,6.55,1.89,1.13,0.38,1.51,8.06,0.42,0.27,0.48,0.67
Anthony Brown,SF,4.17,1.22,0.87,0.35,0.87,6.96,0.3,0.29,0.37,0.86
Carmelo Anthony,SF,7.9,4.31,0.92,0.51,2.46,22.36,0.43,0.35,0.46,0.82
Justin Anderson,SF,7.32,1.53,0.92,1.53,1.22,11.59,0.41,0.27,0.53,0.8
Reggie Bullock,SF,5.59,2.17,0.93,0.31,0.62,10.24,0.46,0.43,0.5,1.0
Nicolas Batum,SF,6.27,5.97,0.93,0.62,2.98,15.33,0.42,0.35,0.49,0.85
Thabo Sefolosha,SF,6.92,2.15,1.69,0.77,1.38,9.85,0.5,0.35,0.58,0.62
Kent Bazemore,SF,6.6,2.98,1.68,0.65,2.33,15.02,0.44,0.37,0.5,0.8
Tony Snell,SF,5.5,1.77,0.53,0.53,1.42,9.4,0.38,0.38,0.38,1.0
Matt Barnes,SF,6.88,2.62,1.25,1.0,2.0,12.5,0.38,0.33,0.44,0.83
Harrison Barnes,SF,5.71,2.1,0.7,0.23,1.05,13.63,0.47,0.37,0.51,0.75
Lance Stephenson,SF,5.7,3.19,1.37,0.23,2.51,10.71,0.49,0.36,0.54,0.71
Lance Stephenson,SF,5.95,3.79,0.95,0.27,2.44,19.22,0.47,0.33,0.49,0.81
